cgpa,backlogs,internships,projects,coding_score,communication_score,attendance_percent,placed
6.87,1,1,1,54.2,75.7,72.3,0
5.57,0,3,0,44.0,86.6,85.8,0
6.41,0,2,2,26.9,100.0,91.0,1
6.69,3,0,1,70.4,99.4,69.6,0
8.36,1,2,2,78.6,72.2,82.4,1
7.58,0,1,1,57.9,62.7,81.2,1
5.26,2,2,4,60.2,83.8,75.5,0
7.56,1,2,4,65.1,61.8,82.9,1
6.78,3,2,1,93.4,58.6,76.0,0
6.46,0,2,2,36.8,65.4,95.7,1
7.87,1,3,2,57.5,63.5,75.7,1
8.33,3,2,3,34.0,76.2,89.9,0
8.22,0,2,4,71.5,61.0,65.4,1
6.28,0,1,2,62.4,71.3,80.4,0
6.86,0,3,2,68.7,93.9,82.1,1
7.56,2,2,0,67.8,71.8,80.1,0
8.27,1,1,4,82.8,92.8,78.0,1
6.67,1,1,2,74.7,88.0,75.3,0
7.0,0,1,2,79.9,78.9,89.5,0
5.98,2,0,2,45.8,64.7,92.0,0
5.88,0,0,2,86.5,85.6,81.2,0
8.09,0,3,2,52.0,66.3,71.0,1
8.69,0,3,1,53.0,70.0,99.9,1
7.12,3,3,4,69.9,75.0,73.2,0
8.3,1,0,3,70.4,69.9,67.4,1
7.6,0,1,1,45.7,59.2,61.9,0
6.49,0,0,4,61.9,47.1,83.0,0
7.6,0,2,2,91.8,84.4,79.8,1
8.89,2,2,4,38.6,78.6,92.3,1
7.16,1,3,2,91.7,44.2,88.1,1
8.92,3,1,1,60.6,58.8,84.9,0
4.5,0,1,0,22.9,72.7,79.3,0
8.1,0,1,0,40.4,76.6,93.1,0
7.3,0,2,4,47.7,47.2,100.0,1
6.87,3,1,0,53.8,68.7,92.1,0
7.3,1,0,2,63.1,78.1,77.4,0
5.01,2,0,2,16.3,64.7,89.8,0
6.96,0,2,2,68.4,73.8,78.0,1
7.59,1,2,2,46.0,62.7,70.9,0
8.83,0,0,1,90.0,83.6,73.0,1
6.63,2,1,3,60.1,58.0,78.4,0
6.31,0,3,2,82.0,52.9,83.0,1
6.65,3,1,0,85.0,70.4,100.0,0
8.21,1,2,2,84.5,48.5,73.2,1
7.56,2,2,1,54.8,38.4,95.2,0
6.62,1,0,0,54.6,86.3,78.8,0
7.76,1,2,1,61.0,55.2,61.8,0
7.31,0,2,3,76.5,50.0,76.9,1
8.27,1,3,2,55.8,57.8,93.8,1
6.43,0,0,4,62.9,57.2,85.4,0
6.84,0,3,2,69.9,67.9,86.0,1
6.77,0,0,3,48.7,53.6,95.3,0
5.59,0,3,2,47.6,77.5,71.6,1
7.53,2,1,4,62.2,79.7,71.5,0
7.49,0,2,2,64.5,50.9,59.4,1
7.21,3,2,1,72.8,60.7,90.8,0
6.94,1,0,4,77.1,62.2,87.6,0
5.64,1,1,0,45.2,67.5,89.2,0
6.74,0,2,3,50.4,86.2,70.2,1
6.82,1,2,2,47.5,87.1,66.0,0
6.32,0,0,0,90.4,100.0,68.8,0
7.02,1,3,0,62.8,36.0,72.8,0
7.64,1,1,3,65.3,56.1,97.5,0
9.27,1,1,2,66.0,97.2,92.0,1
7.39,0,3,0,52.1,43.0,77.4,1
7.48,1,3,0,93.2,96.9,85.0,1
7.12,2,0,2,72.4,72.2,75.2,0
5.09,0,0,2,65.7,72.8,85.6,0
7.17,0,2,0,45.1,50.8,70.6,0
7.27,2,0,1,44.1,63.2,89.5,0
9.91,1,0,2,59.4,96.2,73.5,1
6.99,1,0,0,52.4,69.3,90.1,0
7.53,0,2,3,45.8,63.3,77.7,1
7.16,0,1,4,58.3,76.1,74.1,1
5.91,2,1,1,61.1,67.1,98.1,0
8.46,2,0,4,67.6,75.2,83.8,1
8.03,0,2,4,55.9,57.3,78.8,1
8.07,3,1,0,46.9,68.8,89.6,0
6.2,1,3,1,47.5,60.4,68.6,0
8.74,0,1,1,86.8,42.9,93.1,1
5.66,2,1,2,42.5,77.2,80.6,0
7.85,0,2,4,71.5,51.5,88.0,1
9.61,0,3,1,74.4,67.5,66.5,1
6.11,0,2,2,62.8,83.9,78.2,1
6.58,3,0,2,96.8,47.5,82.0,0
7.31,2,2,2,74.0,79.1,92.3,0
6.65,1,1,3,98.2,65.5,88.8,1
5.49,2,2,0,53.3,55.5,78.1,0
7.28,1,2,2,53.6,100.0,85.2,1
6.03,0,2,2,74.5,70.0,94.6,1
7.72,1,2,3,60.3,61.5,80.0,1
6.19,1,2,2,95.3,58.3,78.9,1
8.9,1,2,0,71.2,83.2,63.1,0
6.34,1,0,2,46.2,60.8,79.2,0
6.85,3,2,1,33.7,81.3,64.6,0
8.09,3,1,2,63.6,70.0,80.9,0
5.85,0,2,2,63.4,86.7,91.9,1
7.45,3,1,0,70.6,54.4,60.8,0
8.64,0,2,2,86.8,56.5,94.3,1
5.43,2,0,0,84.4,65.8,78.7,0
7.4,2,1,0,54.6,67.0,81.7,0
7.49,0,3,1,41.7,64.7,77.0,1
8.06,3,3,1,42.8,100.0,64.9,0
5.84,1,2,2,51.7,100.0,74.2,0
5.75,0,0,3,58.4,74.5,100.0,0
7.77,1,2,0,70.5,76.3,71.0,0
7.53,1,1,3,50.6,66.5,66.1,0
7.48,0,1,2,70.0,54.3,83.4,1
7.58,2,1,0,71.5,67.3,81.1,0
6.45,1,2,0,67.6,81.6,78.8,0
7.46,3,3,4,44.7,89.6,82.1,0
7.52,1,0,3,73.4,84.9,88.4,1
6.41,0,2,2,100.0,47.4,76.1,1
9.25,2,1,1,69.4,65.7,83.9,0
7.72,1,2,2,11.8,48.0,92.2,0
5.89,1,1,3,87.3,87.5,72.0,1
7.92,1,2,1,52.4,63.8,58.8,0
6.13,0,2,2,100.0,69.3,88.7,1
8.07,0,0,4,67.1,77.2,100.0,1
8.47,2,0,1,34.7,100.0,81.9,0
6.3,1,2,0,27.8,74.0,84.0,0
8.26,1,1,2,92.7,66.4,79.0,1
7.65,2,1,1,84.9,51.4,97.9,0
8.1,2,0,4,100.0,91.9,81.2,1
9.29,0,1,1,65.2,67.3,80.1,1
6.93,3,2,1,64.0,94.9,91.1,0
6.37,0,0,4,58.1,86.6,77.2,1
6.22,1,1,2,53.2,63.1,69.2,0
6.3,1,1,2,57.9,49.1,90.8,0
7.12,2,1,2,68.9,74.1,76.1,0
7.58,1,1,3,49.8,60.8,72.2,0
7.5,0,2,4,35.0,70.6,100.0,1
8.11,1,1,2,67.9,85.7,80.2,1
7.21,2,3,1,49.4,45.2,86.9,0
8.8,1,1,4,6.7,74.0,82.3,1
6.91,0,1,0,74.9,81.4,73.1,0
10.0,3,3,2,45.1,82.1,88.9,1
7.89,0,0,4,76.9,49.5,85.1,1
6.26,1,0,2,76.5,76.3,75.4,0
6.02,0,2,4,70.1,88.1,86.3,1
7.73,0,1,1,100.0,75.1,76.9,1
6.95,1,2,0,62.5,68.3,71.0,0
7.99,0,3,0,59.9,87.1,69.9,1
7.72,0,1,3,77.3,59.6,84.7,1
7.12,0,2,4,64.0,47.1,78.2,1
6.27,0,1,2,85.9,67.0,97.0,1
5.53,0,2,0,42.2,78.0,81.6,0
6.71,0,3,0,42.5,85.6,74.1,1
8.14,0,1,2,78.8,78.0,83.6,1
7.44,1,3,2,44.0,82.5,69.1,1
5.83,2,1,0,76.0,85.7,81.2,0
7.39,3,0,4,71.7,64.9,85.2,0
7.62,0,0,3,52.5,67.8,84.0,1
6.23,1,3,0,71.6,89.3,95.0,0
7.37,0,2,1,42.8,51.8,100.0,1
7.26,3,1,2,47.0,76.4,88.7,0
5.94,2,1,3,60.7,59.2,93.8,0
7.59,0,0,1,66.4,86.5,100.0,1
7.82,2,2,3,59.5,69.7,71.9,0
8.39,0,1,1,72.8,70.1,83.3,1
8.36,3,2,2,72.0,95.9,77.2,0
5.68,2,2,2,92.5,53.9,90.4,0
6.17,1,3,2,63.3,73.2,84.7,1
7.77,1,0,4,86.5,67.3,73.8,1
7.77,1,0,1,81.6,78.0,82.1,1
7.77,0,0,2,100.0,98.9,92.5,1
10.0,1,3,1,62.7,60.9,69.0,1
7.83,3,2,2,57.4,52.0,74.0,0
8.45,0,2,2,87.6,57.9,72.5,1
8.25,0,3,3,71.9,66.5,85.3,1
7.92,2,1,2,88.1,71.0,94.4,0
6.85,0,1,1,77.9,71.7,61.9,1
8.03,1,2,1,27.1,97.0,82.9,1
6.35,0,1,4,71.8,94.4,72.8,1
6.94,2,2,2,70.6,89.5,92.1,0
6.67,0,0,1,67.4,100.0,79.6,1
7.29,2,2,0,62.6,82.4,83.3,0
9.75,2,3,3,36.3,86.6,82.0,1
5.15,2,1,2,80.7,82.1,93.2,0
7.95,0,3,4,71.7,79.6,100.0,1
5.43,3,2,3,84.8,75.9,70.7,0
6.68,1,2,2,37.3,64.0,72.5,0
8.4,2,1,4,74.1,51.3,85.2,1
7.27,0,1,2,60.8,68.0,73.8,0
6.01,3,1,2,67.6,78.5,91.3,0
6.41,1,2,0,61.0,71.1,92.9,0
7.95,0,2,2,74.8,54.0,76.5,1
6.4,0,0,4,62.1,67.5,74.4,0
7.44,0,1,4,46.1,66.7,79.3,1
7.25,0,1,1,66.6,69.1,83.0,0
6.48,0,1,0,61.1,77.4,85.1,0
9.56,0,0,0,63.5,80.6,59.5,1
7.9,2,3,4,7.6,62.5,72.3,0
4.97,1,2,4,77.3,84.7,78.0,1
7.41,0,2,3,59.3,87.0,74.0,1
6.47,0,0,3,40.7,74.8,53.4,0
8.14,0,1,3,81.6,80.0,63.1,1
6.33,0,2,0,76.5,84.8,68.9,1
7.07,0,2,1,59.1,53.5,80.8,1
7.76,1,2,2,44.3,85.8,77.6,1
8.15,2,2,3,68.2,58.1,75.7,1
5.88,0,0,1,67.2,59.6,90.0,0
6.83,1,0,2,81.6,72.9,90.0,0
6.68,3,2,3,57.0,37.8,83.5,0
6.48,2,1,2,86.5,72.6,83.2,0
9.14,0,2,2,55.3,84.7,73.4,1
7.65,2,1,2,40.8,45.3,74.6,0
5.81,2,2,2,44.6,86.3,64.9,0
8.21,2,1,3,63.9,59.5,79.5,0
9.53,1,2,0,63.8,73.1,89.9,1
8.34,1,1,2,70.9,61.7,95.5,1
5.53,0,1,2,63.4,78.6,79.6,0
6.67,0,1,2,82.6,85.4,86.9,1
8.59,0,3,2,60.3,79.7,53.4,1
6.42,2,1,1,29.1,69.9,77.7,0
7.69,0,0,0,62.8,62.9,77.4,1
8.05,1,0,3,28.9,69.0,96.9,0
6.18,1,3,3,69.9,79.8,85.9,1
7.13,0,2,1,84.0,80.4,86.9,1
4.5,1,1,2,47.2,78.3,86.4,0
6.07,0,2,0,90.5,50.8,82.5,0
6.92,1,2,3,80.2,69.7,97.3,1
5.83,0,3,4,86.7,60.5,58.9,1
9.0,3,0,3,68.4,80.0,83.5,0
5.63,1,2,2,47.1,58.5,93.3,0
6.72,1,0,4,79.1,76.8,63.1,0
7.34,1,2,1,53.8,65.8,90.4,0
8.79,1,1,0,67.1,41.8,74.4,0
5.62,1,2,1,61.9,84.0,83.1,0
8.48,1,3,1,85.2,69.6,74.2,1
7.21,3,1,0,78.1,89.1,91.6,0
6.12,2,1,0,63.5,45.0,79.1,0
7.71,1,1,3,29.9,65.6,90.5,0
7.42,0,2,3,53.6,66.8,86.4,1
6.54,1,2,0,77.7,74.1,74.1,0
7.28,1,1,4,70.0,50.1,87.0,1
6.78,3,1,2,37.9,78.2,75.4,0
7.32,2,3,3,32.5,98.7,82.6,0
7.93,1,3,2,68.5,77.1,78.9,1
8.94,0,1,4,46.0,71.4,91.0,1
5.84,2,1,0,47.7,49.3,87.4,0
9.55,0,1,4,77.1,58.4,81.7,1
5.05,1,1,3,86.6,69.2,75.1,0
7.03,3,1,1,51.5,62.1,69.3,0
7.85,0,3,0,64.2,85.4,83.4,1
7.51,3,1,2,63.7,78.0,75.7,0
6.52,0,2,2,62.0,100.0,63.2,1
6.97,1,2,4,65.7,55.3,68.7,0
6.66,0,3,0,78.6,70.5,98.3,1
6.55,0,1,4,52.9,49.2,75.4,1
8.13,0,2,0,37.5,36.7,92.8,1
7.59,0,1,3,95.4,80.8,78.4,1
6.44,0,2,3,84.6,77.4,94.4,1
8.19,2,2,3,45.1,57.2,93.7,0
7.54,0,1,4,67.4,71.4,73.7,1
8.09,0,2,2,83.2,60.6,62.1,1
7.89,1,2,3,78.5,62.6,63.0,1
6.29,3,1,0,73.3,65.2,73.9,0
6.58,3,3,3,61.9,56.6,100.0,0
8.02,0,2,1,96.1,59.3,77.9,1
7.87,3,1,3,69.0,59.7,83.5,0
7.18,0,2,4,55.7,76.3,95.0,1
7.33,0,0,2,80.7,28.4,83.1,0
8.61,0,0,1,66.7,66.6,82.8,1
6.55,1,2,4,71.3,53.7,88.2,1
7.8,0,2,4,68.7,54.2,84.9,1
6.98,1,1,4,73.9,62.1,81.0,1
6.96,2,3,0,47.4,69.8,74.8,0
8.41,2,2,4,38.9,66.8,82.8,1
8.11,0,0,0,90.8,54.0,92.9,0
8.09,3,2,4,69.5,80.8,99.8,0
8.64,1,3,2,78.9,56.5,84.9,1
7.22,0,2,1,33.3,59.0,89.6,1
7.95,1,2,2,84.2,74.3,84.7,1
6.86,1,2,4,55.6,74.8,81.1,1
7.56,3,0,1,50.5,60.8,87.1,0
7.06,0,0,1,63.9,26.0,93.9,0
7.31,1,2,2,47.4,56.7,73.1,0
7.85,3,1,2,65.0,72.4,67.5,0
6.3,1,2,2,62.5,80.3,76.7,0
9.5,1,3,1,84.1,68.8,84.1,1
6.09,1,2,0,92.2,62.8,90.7,0
5.86,1,1,1,91.7,100.0,72.1,0
8.47,1,1,2,24.2,64.4,57.1,0
8.07,1,1,2,48.2,79.2,76.9,1
7.89,2,1,4,24.1,50.0,80.1,0
7.89,3,1,4,43.5,53.6,70.4,0
7.19,0,2,2,53.3,79.7,74.4,1
6.21,3,1,4,72.4,85.7,90.7,0
7.28,1,1,4,55.6,64.2,82.8,1
6.46,1,0,2,56.1,42.3,85.5,0
8.27,3,2,2,68.3,67.5,78.4,0
7.04,2,3,3,34.2,72.8,74.5,0
6.29,1,2,0,49.9,71.5,78.4,0
6.85,0,2,0,55.9,61.5,87.0,1
7.65,3,2,4,61.4,67.7,67.1,0
6.58,0,1,0,66.4,58.8,98.5,0
6.3,1,2,2,92.0,53.3,87.7,1
7.47,2,1,2,81.4,81.3,76.6,0
7.47,2,0,1,51.2,71.5,90.1,0
6.64,3,2,1,60.3,67.7,94.2,0
6.68,1,2,0,59.1,62.4,78.7,0
7.46,1,1,3,55.7,67.3,79.8,1
5.61,2,2,1,69.9,72.4,96.9,0
5.65,1,1,1,31.5,95.9,100.0,0
6.41,2,1,2,80.9,79.8,82.3,0
6.97,3,2,3,95.5,60.0,70.4,0
7.54,0,1,4,60.1,60.2,77.3,1
8.82,2,2,0,59.8,57.8,92.3,0
8.14,0,0,1,67.8,67.0,71.7,0
7.02,1,1,3,83.3,57.8,79.9,0
7.18,2,2,3,59.2,77.1,84.9,0
6.1,2,1,0,81.8,30.3,72.8,0
7.18,3,3,3,73.8,78.0,93.0,0
6.88,1,0,3,100.0,74.1,88.9,0
7.55,0,1,3,59.1,88.9,100.0,1
6.29,3,1,1,29.4,83.2,89.8,0
7.77,0,2,0,39.2,59.7,72.4,0
8.89,3,2,3,65.2,81.5,87.3,1
7.08,1,2,3,83.5,67.5,91.9,1
7.64,0,2,1,53.3,41.0,92.4,1
7.96,1,0,0,60.8,72.4,74.2,0
6.76,1,2,2,77.3,60.6,73.0,0
7.45,0,2,1,47.6,70.0,70.6,1
7.21,0,3,0,54.0,94.8,98.0,1
7.31,1,1,3,44.0,73.4,88.2,0
6.35,1,1,0,86.2,54.7,73.8,0
7.23,1,2,0,92.8,84.5,83.3,1
7.75,0,1,4,36.6,75.4,80.8,1
8.8,1,1,0,62.4,53.0,72.3,0
8.26,1,3,2,90.3,45.9,82.4,1
9.57,1,2,0,72.2,55.3,83.9,1
6.36,0,2,2,56.2,82.5,100.0,1
8.16,0,3,3,37.2,65.5,75.4,1
7.4,0,2,2,85.8,71.2,64.9,1
9.61,1,3,3,71.5,49.9,71.5,1
6.31,0,1,3,38.5,82.9,73.1,0
6.28,3,2,2,86.4,39.8,77.7,0
6.54,1,2,1,36.2,60.2,71.5,0
4.86,1,0,2,61.0,76.3,90.2,0
6.62,3,2,0,60.2,53.2,70.8,0
6.36,1,0,4,94.1,79.2,82.2,0
7.37,0,3,2,60.3,57.0,100.0,1
7.58,2,1,0,60.2,51.6,87.5,0
9.26,1,2,0,40.5,89.3,86.5,1
8.25,0,3,3,53.5,72.3,100.0,1
6.57,1,0,0,50.3,77.8,94.5,0
6.21,1,1,4,51.2,85.3,87.7,0
7.74,0,1,0,65.1,30.7,78.9,0
5.75,0,1,2,21.2,79.5,81.8,0
9.21,0,2,2,37.8,58.6,81.3,1
8.5,1,2,2,63.0,60.6,78.0,1
6.68,1,2,4,67.2,76.6,84.1,1
5.32,1,3,0,60.8,64.6,85.5,0
8.69,2,1,4,64.3,78.9,69.6,1
7.07,0,2,3,57.6,69.4,98.3,1
8.56,1,3,2,64.7,72.5,86.1,1
5.45,0,1,2,72.8,62.6,79.4,0
6.54,1,0,1,72.7,54.0,84.2,0
7.21,0,3,0,52.6,58.9,91.3,1
7.25,0,1,3,81.5,68.5,67.3,1
6.7,0,1,2,67.8,97.6,80.9,1
7.89,0,0,2,87.2,92.1,70.1,1
6.03,0,1,3,90.8,60.2,100.0,1
7.04,0,1,4,39.0,70.9,83.4,1
7.33,0,0,4,49.5,65.7,70.2,1
7.77,1,1,0,79.6,72.0,100.0,1
7.98,1,2,1,35.0,73.9,76.6,0
5.96,0,3,2,90.6,77.9,79.9,1
5.51,0,1,1,58.8,26.5,80.6,0
8.61,0,1,4,75.4,75.5,73.5,1
7.57,0,2,4,62.9,64.0,84.5,1
6.38,1,1,2,39.9,59.4,59.9,0
8.91,1,2,0,84.0,81.9,92.9,1
7.33,1,2,2,100.0,92.0,70.7,1
8.5,0,1,2,55.7,80.3,77.8,1
7.27,3,0,2,59.2,62.2,89.5,0
9.47,0,2,0,17.3,53.9,80.0,1
9.13,0,2,0,89.3,24.9,80.4,1
6.93,2,0,3,81.4,72.7,71.9,0
8.27,0,0,1,33.8,78.7,100.0,0
7.91,3,0,1,27.8,68.5,87.3,0
8.71,0,0,3,29.9,84.0,71.2,1
6.14,1,1,3,76.6,50.2,83.8,0
7.95,3,3,4,78.4,67.4,70.5,1
8.36,1,1,2,48.4,66.2,99.2,1
5.27,0,1,3,74.0,68.3,84.0,1
5.9,1,2,2,67.9,87.5,72.2,0
4.96,1,2,1,58.4,68.4,89.0,0
6.9,0,3,3,82.5,65.6,79.2,1
7.99,3,2,2,43.3,55.9,69.1,0
8.85,1,1,2,85.7,89.9,85.8,1
7.28,1,3,2,51.9,48.5,85.5,1
8.99,0,2,4,97.1,61.7,93.4,1
5.68,3,3,4,46.9,95.4,82.6,0
5.33,0,1,2,58.7,77.0,83.1,0
7.14,0,1,4,66.1,69.7,83.6,1
7.62,1,3,2,65.9,70.3,98.0,1
7.16,0,1,2,73.8,55.8,78.9,1
4.93,0,1,2,41.9,69.0,86.7,0
7.1,0,3,2,64.3,64.8,88.2,1
5.77,1,2,2,67.5,72.7,85.5,0
7.94,1,2,1,55.5,47.4,78.5,1
7.6,1,1,2,72.3,76.0,83.2,1
6.17,0,0,2,40.8,85.2,81.1,0
6.63,3,1,4,59.1,66.9,100.0,0
6.03,2,3,2,51.4,79.7,77.4,0
7.13,1,0,1,59.2,74.7,72.9,0
8.25,0,3,4,91.0,60.9,81.9,1
6.12,1,1,0,91.4,54.1,81.2,0
7.75,3,1,0,87.9,56.2,84.0,0
6.62,0,1,2,56.7,74.4,77.4,1
6.33,3,1,2,81.3,69.2,83.1,0
7.08,0,0,1,67.0,89.1,83.3,1
6.06,1,3,3,65.8,81.9,91.1,1
6.59,0,1,0,63.6,81.8,82.9,0
5.88,0,0,2,96.7,73.9,83.0,0
9.36,0,2,0,89.6,55.6,87.2,1
7.24,1,0,1,78.4,74.9,90.7,0
6.43,1,2,1,61.9,71.0,72.2,0
7.44,2,0,3,65.7,52.9,69.5,0
7.08,2,2,3,74.6,88.1,99.0,1
6.96,0,2,4,55.6,86.5,89.0,1
7.88,2,2,1,81.9,52.8,79.8,0
8.03,3,2,2,48.4,60.4,82.2,0
6.62,1,0,0,72.1,61.8,78.1,0
6.57,0,0,2,23.8,79.1,84.1,0
6.9,3,2,3,55.1,77.4,72.3,0
4.67,0,1,2,100.0,70.7,90.4,0
5.53,0,1,2,83.7,74.1,83.8,1
8.7,0,0,3,92.6,50.7,84.1,1
9.01,3,1,2,53.0,75.7,73.1,0
6.93,0,3,2,66.9,68.5,87.2,1
7.83,0,3,0,88.1,59.8,73.3,1
7.54,0,2,2,76.4,47.0,75.1,1
10.0,1,3,4,74.2,70.4,82.9,1
8.43,2,3,3,94.4,75.4,100.0,1
7.06,1,1,1,46.3,44.5,83.7,0
6.15,2,1,0,61.7,70.3,56.3,0
5.43,0,1,2,33.4,71.8,75.6,0
7.42,0,3,3,45.3,61.7,88.8,1
6.37,0,2,1,84.3,75.7,70.7,1
5.64,0,2,2,48.5,68.0,90.3,1
6.49,3,2,1,78.2,74.2,83.6,0
6.01,2,1,3,94.9,78.0,91.9,0
9.06,3,2,3,61.8,78.0,76.4,0
8.17,0,2,4,74.4,85.3,75.6,1
7.19,0,1,4,78.4,75.1,87.6,1
8.83,1,1,1,43.0,62.8,81.9,0
7.29,1,3,2,53.9,60.3,81.3,1
6.25,1,1,1,46.9,54.1,97.7,0
8.88,0,0,3,55.3,72.3,88.0,1
7.79,0,1,3,77.9,89.8,62.1,1
6.06,2,1,2,54.3,64.6,90.0,0
6.99,1,2,4,64.4,76.7,89.0,1
6.24,1,3,2,46.2,58.7,93.8,0
5.68,3,2,0,87.1,72.9,72.6,0
8.22,1,1,3,55.2,88.9,85.2,1
9.3,0,1,2,92.4,80.3,83.1,1
5.66,0,1,1,66.1,46.4,72.4,0
7.82,0,2,4,39.7,78.6,91.5,1
6.48,3,2,4,61.9,79.2,79.6,0
6.66,0,1,2,45.9,72.6,93.5,0
6.55,0,1,1,75.6,80.0,74.6,1
6.25,3,3,2,60.3,57.5,67.4,0
7.25,0,3,2,67.9,70.9,79.6,1
6.29,0,1,0,58.4,86.7,84.3,0
7.5,0,3,1,55.0,85.3,76.7,1
7.14,2,2,1,47.5,78.2,51.4,0
6.94,1,2,1,80.1,56.8,85.8,1
6.2,0,0,2,61.9,54.4,85.8,0
6.57,0,0,2,59.3,71.7,88.9,0
8.03,0,0,1,61.4,72.7,78.2,1
7.75,2,3,1,52.8,68.5,77.6,0
6.12,1,2,4,59.4,57.9,96.4,1
7.31,2,2,0,68.7,76.6,66.2,0
8.03,1,2,4,46.4,71.7,79.5,1
5.36,1,1,4,49.0,74.3,83.4,0
7.8,1,2,0,89.8,78.9,88.1,0
6.47,0,1,2,58.5,65.9,83.7,1
7.83,2,0,4,55.1,62.7,72.8,0
6.36,0,0,2,40.8,86.6,93.7,0
5.21,1,3,4,80.3,58.6,82.0,1
5.41,0,0,3,46.0,63.0,65.3,0
7.25,0,3,0,64.7,88.5,84.1,1
7.49,2,1,4,34.3,61.8,86.8,0
6.21,3,1,3,79.7,68.5,100.0,0
7.9,3,2,2,86.2,63.8,86.1,0
5.37,0,3,3,73.7,43.3,67.2,1
7.13,1,2,1,37.4,68.2,67.5,0
5.87,0,2,4,80.1,54.8,94.6,1
6.48,3,1,3,50.1,73.8,74.0,0
7.25,0,3,2,43.9,86.6,66.5,1
6.25,1,1,2,58.1,36.8,92.0,0
6.78,1,2,4,57.7,63.9,77.2,1
8.31,2,3,1,55.9,76.8,91.5,1
6.57,1,2,3,87.9,37.2,72.9,1
8.12,2,2,2,100.0,90.0,96.7,1
5.96,2,3,4,40.4,75.7,90.7,0
7.78,2,3,2,52.6,86.2,74.8,1
8.79,3,2,1,67.6,61.5,65.4,0
4.5,3,2,3,58.0,63.4,100.0,0
6.32,1,1,2,72.2,67.6,79.9,0
7.83,0,1,2,81.5,100.0,74.4,1
6.98,2,2,0,78.5,89.8,95.9,0
7.61,2,3,2,76.0,72.0,91.5,1
6.54,0,1,0,94.9,73.8,93.8,1
7.3,0,1,3,36.4,79.5,81.0,1
7.03,2,1,4,91.6,100.0,100.0,1
8.48,1,1,4,57.6,75.7,68.9,1
7.48,1,0,3,79.1,70.7,76.5,0
7.57,1,2,3,46.5,64.9,85.9,1
6.75,0,0,2,48.6,73.5,93.7,0
6.66,0,0,3,76.9,61.2,88.6,1
6.72,1,0,2,30.3,77.4,81.2,0
7.63,1,1,4,82.8,48.5,77.2,1
6.74,3,2,1,87.7,66.1,93.7,0
7.52,1,1,4,68.2,81.0,89.6,1
9.48,0,1,0,67.6,75.5,73.3,1
8.16,0,3,4,50.0,63.1,73.0,1
6.84,3,3,2,77.1,66.5,76.5,0
8.52,3,0,3,71.3,85.5,75.3,0
6.75,0,1,3,48.4,51.8,92.3,1
4.96,3,0,4,58.0,51.9,86.4,0
6.09,1,3,1,62.1,56.1,87.6,0
5.14,1,2,1,57.9,69.8,83.9,0
6.81,2,2,2,40.5,49.6,84.4,0
7.22,0,0,0,77.6,84.3,66.2,0
9.04,1,2,4,60.6,56.1,89.9,1
7.56,1,2,3,65.3,73.4,76.4,1
6.96,0,1,4,54.6,61.3,81.7,1
8.11,0,0,2,73.6,69.0,77.3,1
4.77,3,0,2,68.6,45.9,83.5,0
7.46,2,1,2,86.8,85.0,87.7,0
8.05,0,1,2,73.7,55.6,71.9,1
5.57,3,0,3,61.4,54.0,84.5,0
8.46,1,1,2,51.7,100.0,77.5,0
